上海电信,#genre#
聚鲨环球精选,http://218.79.27.163:4022/udp/239.45.3.123:5140
央广购物,http://218.79.27.163:4022/udp/239.45.3.213:5140
家家购物,http://218.79.27.163:4022/udp/239.45.3.179:5140
快乐购物,http://218.79.27.163:4022/udp/239.45.1.53:5140
优购物,http://218.79.27.163:4022/udp/239.45.1.114:5140
好享购物,http://218.79.27.163:4022/udp/239.45.1.253:5140
中央购物,http://218.79.27.163:4022/udp/239.45.3.79:5140
家有购物,http://218.79.27.163:4022/udp/239.45.1.43:514
一年级,http://218.79.27.163:4022/udp/239.45.1.28:5140
二年级,http://218.79.27.163:4022/udp/239.45.1.29:5140
三年级,http://218.79.27.163:4022/udp/239.45.1.30:5140
四年级,http://218.79.27.163:4022/udp/239.45.1.31:5140
五年级,http://218.79.27.163:4022/udp/239.45.1.32:5140
六年级,http://218.79.27.163:4022/udp/239.45.1.33:5140
七年级,http://218.79.27.163:4022/udp/239.45.1.34:5140
八年级,http://218.79.27.163:4022/udp/239.45.1.35:5140
九年级,http://218.79.27.163:4022/udp/239.45.1.36:5140
高一年级,http://218.79.27.163:4022/udp/239.45.1.37:5140
高二年级,http://218.79.27.163:4022/udp/239.45.1.38:5140
高三年级,http://218.79.27.163:4022/udp/239.45.1.39:5140






揭西酒店凤凰,#genre#
凤凰资讯高清,http:///hls/36/index.m3u8
凤凰卫视高清,http:///hls/37/index.m3u8
凤凰香港高清,http:///hls/38/index.m3u8

凤凰资讯高清,http:///hls/36/index.m3u8
凤凰卫视高清,http:///hls/37/index.m3u8
凤凰香港高清,http:///hls/38/index.m3u8

凤凰资讯高清,http:///hls/36/index.m3u8
凤凰卫视高清,http:///hls/37/index.m3u8
凤凰香港高清,http:///hls/38/index.m3u8

北京电信,#genre#
北京卫视,http://115.171.216.222:4000/udp/225.1.8.21:8002
北京文艺,http://115.171.216.222:4000/udp/225.1.8.22:8002
北京科教,http://115.171.216.222:4000/udp/225.1.8.105:8002
北京影视,http://115.171.216.222:4000/udp/225.1.8.82:8000
北京财经,http://115.171.216.222:4000/udp/225.1.8.106:8002
北京冬奥纪实,http://115.171.216.222:4000/udp/225.1.8.23:8002
北京生活,http://115.171.216.222:4000/udp/225.1.8.108:8002
北京青年,http://115.171.216.222:4000/udp/225.1.8.118:8002
北京新闻,http://115.171.216.222:4000/udp/225.1.8.83:8000
北京卡酷少儿,http://115.171.216.222:4000/udp/225.1.8.35:8000
北京冬奥纪实 4K,http://115.171.216.222:4000/udp/225.1.8.120:8002
北京冬奥纪实 4K,http://115.171.216.222:4000/udp/225.1.8.164:8002
房山,http://115.171.216.222:4000/udp/225.1.8.68:8002
