1222k  222.64.74.108:4022
1218k  58.39.142.6:4022
1060k  124.79.182.237:4022
1047k  61.173.95.181:4022
1010k  58.37.82.140:56789
907k  58.37.242.11:4022
685k  tv.twwhwn.cn:4022
567k  222.71.11.180:4022
466k  116.233.138.194:4022
433k  58.37.189.47:8088
357k  tv.100inns.com:4022
295k  116.234.68.114:5002
